node,degree,betweenness,closeness,eigenvector,community
Aemon,0.04716981132075471,0.004622508177397137,0.3897058823529412,0.04413903017863178,1.0
Grenn,0.03773584905660377,5.989817310572027e-05,0.3302180685358255,0.019479794273248897,1.0
Samwell,0.14150943396226415,0.03227262859511145,0.38405797101449274,0.05434638119659281,1.0
Aerys,0.03773584905660377,0.0,0.3925925925925926,0.07833037565433801,0.0
Jaime,0.22641509433962265,0.09994344156136246,0.4796380090497738,0.2736630365317281,0.0
Robert,0.16981132075471697,0.2094523840293194,0.5,0.1995875227826423,3.0
Tyrion,0.33962264150943394,0.19791284320277353,0.5120772946859904,0.3366376625499633,0.0
Tywin,0.20754716981132074,0.06553840423231058,0.4690265486725664,0.22485583632863326,0.0
Alliser,0.02830188679245283,0.0,0.343042071197411,0.016483940197167,1.0
Mance,0.11320754716981132,0.007275961371756524,0.3581081081081081,0.030760352562253696,1.0
Amory,0.009433962264150943,0.0,0.2617283950617284,0.005955545728156817,0.0
Oberyn,0.0660377358490566,0.01958014232946847,0.35333333333333333,0.07867344685980791,0.0
Arya,0.1792452830188679,0.07960711308183888,0.48623853211009177,0.22293108897418842,2.0
Anguy,0.018867924528301886,0.0,0.32919254658385094,0.02068947255826198,4.0
Beric,0.05660377358490566,0.0006091214266627511,0.33865814696485624,0.0503748026148112,4.0
Bran,0.1320754716981132,0.06301659941786954,0.42063492063492064,0.11528707749525809,2.0
Brynden,0.07547169811320754,0.004727134574764742,0.375886524822695,0.08301687589161554,2.0
Cersei,0.18867924528301885,0.02674643287824232,0.4435146443514644,0.24644869607730566,2.0
Gendry,0.03773584905660377,0.0,0.3333333333333333,0.03712371627977678,4.0
Gregor,0.11320754716981132,0.005879915417737236,0.40304182509505704,0.1612715681211266,0.0
Joffrey,0.16981132075471697,0.025434099443917696,0.43983402489626555,0.23065949393794513,0.0
Jon,0.24528301886792453,0.22996466368473173,0.4796380090497738,0.14245476192376486,1.0
Rickon,0.05660377358490566,0.0007626320968639029,0.37857142857142856,0.08127662112877647,2.0
Roose,0.03773584905660377,0.0002629599012559427,0.3581081081081081,0.05808085817896899,2.0
Sandor,0.12264150943396226,0.014162278987154626,0.41732283464566927,0.16592686834673395,0.0
Thoros,0.04716981132075471,0.0019261823273239152,0.36177474402730375,0.051169363817678684,4.0
Balon,0.05660377358490566,0.0006281164805527878,0.4061302681992337,0.1034142210547702,0.0
Loras,0.08490566037735849,0.003780752291533962,0.3897058823529412,0.1189044858880741,0.0
Belwas,0.03773584905660377,0.018867924528301886,0.2857142857142857,0.005637228079906848,3.0
Barristan,0.05660377358490566,0.04011407489067884,0.37992831541218636,0.040948777877141886,3.0
Illyrio,0.009433962264150943,0.0,0.22268907563025211,0.0004267409305972036,3.0
Hodor,0.03773584905660377,0.0021937273446681065,0.33865814696485624,0.03062940075397418,1.0
Jojen,0.03773584905660377,0.0004064518889316733,0.3136094674556213,0.017223531808814817,1.0
Luwin,0.018867924528301886,0.0,0.29775280898876405,0.009442334573967733,2.0
Meera,0.04716981132075471,0.0019922569692430686,0.33865814696485624,0.027248895679381768,1.0
Nan,0.018867924528301886,0.0,0.29775280898876405,0.009442334573967733,2.0
Theon,0.03773584905660377,0.00047177590304274953,0.3732394366197183,0.04419966585951718,2.0
Brienne,0.0660377358490566,0.0015376001520469229,0.3882783882783883,0.1069806558829531,2.0
Bronn,0.03773584905660377,0.00010482180293501046,0.34527687296416937,0.06205026797683864,0.0
Podrick,0.04716981132075471,0.0008358985235471674,0.37722419928825623,0.07532886400365409,0.0
Lothar,0.04716981132075471,0.0006600525898733143,0.33544303797468356,0.03823230759048666,2.0
Walder,0.07547169811320754,0.0032731813973401044,0.3693379790940767,0.07541760774724766,2.0
Catelyn,0.16981132075471697,0.04890588265764755,0.44166666666666665,0.19248526173555666,2.0
Edmure,0.07547169811320754,0.0063172332740347534,0.3706293706293706,0.07305905330338218,2.0
Hoster,0.02830188679245283,0.0002426336765959408,0.314540059347181,0.02873840021142843,2.0
Jeyne,0.018867924528301886,0.0,0.33544303797468356,0.03310631594424495,2.0
Lysa,0.09433962264150943,0.015215156305177053,0.3925925925925926,0.11408840418526574,2.0
Petyr,0.0660377358490566,0.0011502139845250673,0.39552238805970147,0.11106103579482836,2.0
Robb,0.2358490566037736,0.1269644713830151,0.48847926267281105,0.24484547615579846,2.0
Roslin,0.03773584905660377,6.751960581039384e-05,0.31268436578171094,0.028705292361689304,2.0
Sansa,0.24528301886792453,0.12672031668498004,0.5096153846153846,0.27878188816602206,2.0
Stannis,0.1320754716981132,0.1026998617273264,0.4796380090497738,0.16719227096201986,1.0
Elia,0.04716981132075471,0.002996853410630337,0.3693379790940767,0.07925591817363617,0.0
Ilyn,0.05660377358490566,0.0,0.3521594684385382,0.09502037461180432,0.0
Meryn,0.0660377358490566,0.00025900705642512993,0.36177474402730375,0.11427886971687554,0.0
Pycelle,0.03773584905660377,0.0,0.3509933774834437,0.06778491263829714,0.0
Shae,0.04716981132075471,0.0012523948930099663,0.3719298245614035,0.07422167062374563,0.0
Varys,0.0660377358490566,0.0009094137867722772,0.35570469798657717,0.0874989726439284,0.0
Craster,0.04716981132075471,0.018867924528301886,0.3322884012539185,0.018746753658793212,1.0
Karl,0.009433962264150943,0.0,0.25,0.001419297962020186,1.0
Daario,0.03773584905660377,5.989817310572027e-05,0.27040816326530615,0.0029145432690333125,3.0
Drogo,0.03773584905660377,5.989817310572027e-05,0.27040816326530615,0.0029145432690333125,3.0
Irri,0.03773584905660377,0.00017969451931716083,0.27040816326530615,0.0024943672447895276,3.0
Daenerys,0.1320754716981132,0.15720345212054956,0.36551724137931035,0.02503717790257317,3.0
Aegon,0.009433962264150943,0.0,0.2683544303797468,0.0018953289413951918,3.0
Jorah,0.05660377358490566,0.002329891127259132,0.28804347826086957,0.008054847886861602,3.0
Kraznys,0.009433962264150943,0.0,0.2683544303797468,0.0018953289413951918,3.0
Missandei,0.018867924528301886,0.0,0.26903553299492383,0.002084154592096673,3.0
Rakharo,0.009433962264150943,0.0,0.2683544303797468,0.0018953289413951918,3.0
Rhaegar,0.05660377358490566,0.007312671807481101,0.35570469798657717,0.0289519699598194,3.0
Viserys,0.02830188679245283,0.015644391307527945,0.3719298245614035,0.02957048932095162,3.0
Worm,0.009433962264150943,0.0,0.2683544303797468,0.0018953289413951918,3.0
Davos,0.04716981132075471,0.056064690026954175,0.3322884012539185,0.015088595265721014,1.0
Cressen,0.009433962264150943,0.0,0.25,0.0011422440283832,1.0
Salladhor,0.009433962264150943,0.0,0.25,0.0011422440283832,1.0
Eddard,0.11320754716981132,0.019341416465723616,0.4608695652173913,0.167606499633333,2.0
Eddison,0.02830188679245283,0.0,0.32919254658385094,0.016373477151402846,1.0
Gilly,0.03773584905660377,0.0,0.33125,0.018646855934966757,1.0
Qyburn,0.009433962264150943,0.0,0.32515337423312884,0.020716365171905275,0.0
Renly,0.07547169811320754,0.004227926858198188,0.41568627450980394,0.117716709597982,0.0
Tommen,0.04716981132075471,0.0006984420191967362,0.34983498349834985,0.06745655822272249,0.0
Janos,0.05660377358490566,0.02355861153253357,0.39552238805970147,0.044525688289407894,1.0
Bowen,0.018867924528301886,0.0,0.30113636363636365,0.007485128192761289,1.0
Kevan,0.05660377358490566,0.019219915043818533,0.37992831541218636,0.08819903989819639,0.0
Margaery,0.0660377358490566,0.0010973522354777933,0.375886524822695,0.09276945755245655,0.0
Myrcella,0.03773584905660377,0.0006235971795124951,0.3719298245614035,0.06915481726077186,0.0
Dalla,0.02830188679245283,0.0,0.334384858044164,0.015483234821474266,1.0
Melisandre,0.03773584905660377,0.00860866854841803,0.36678200692041524,0.028697595753927826,1.0
Orell,0.009433962264150943,0.0,0.32515337423312884,0.01078434020001249,1.0
Qhorin,0.04716981132075471,0.0002635519616651692,0.33125,0.019619097784005113,1.0
Rattleshirt,0.03773584905660377,0.0,0.3281733746130031,0.015794301407823497,1.0
Styr,0.018867924528301886,0.0,0.3261538461538461,0.013113184988676141,1.0
Val,0.03773584905660377,0.005898334987101542,0.3732394366197183,0.0313069879445734,1.0
Ygritte,0.03773584905660377,0.0,0.3281733746130031,0.015794301407823497,1.0
